               eta                    f                   f'                  f''
      0.0000000000         0.0000000000         0.0000000000         0.3324586650
      0.1000000000         0.0016622933         0.0332456362         0.3324494545
      0.2000000000         0.0066490351         0.0664880489         0.3323849883
      0.3000000000         0.0149595348         0.0997189521         0.3322100779
      0.4000000000         0.0265919973         0.1329245500         0.3318697532
      0.5000000000         0.0415429741         0.1660855709         0.3313095143
      0.6000000000         0.0598068179         0.1991773310         0.3304756805
      0.7000000000         0.0813751466         0.2321698370         0.3293158343
      0.8000000000         0.1062363196         0.2650279394         0.3277793538
      0.9000000000         0.1343749318         0.2977115411         0.3258180251
      1.0000000000         0.1657713323         0.3301758724         0.3233867238
      1.1000000000         0.2004011736         0.3623718359         0.3204441495
      1.2000000000         0.2382349991         0.3942464275         0.3169535971
      1.3000000000         0.2792378774         0.4257432351         0.3128837415
      1.4000000000         0.3233690887         0.4568030152         0.3082094120
      1.5000000000         0.3705818745         0.4873643464         0.3029123308
      1.6000000000         0.4208232549         0.5173643522         0.2969817842
      1.7000000000         0.4740339223         0.5467394874         0.2904151992
      1.8000000000         0.5301482160         0.5754263762         0.2832185969
      1.9000000000         0.5890941821         0.6033626877         0.2754068926
      2.0000000000         0.6507937238         0.6304880333         0.2670040229
      2.1000000000         0.7151628396         0.6567448673         0.2580428766
      2.2000000000         0.7821119529         0.6820793695         0.2485650181
      2.3000000000         0.8515463266         0.7064422908         0.2386201976
      2.4000000000         0.9233665602         0.7297897377         0.2282656475
      2.5000000000         0.9974691614         0.7520838772         0.2175651787
      2.6000000000         1.0737471836         0.7732935417         0.2065880921
      2.7000000000         1.1520909172         0.7933947169         0.1954079360
      2.8000000000         1.2323886244         0.8123708994         0.1841011409
      2.9000000000         1.3145273023         0.8302133127         0.1727455735
      3.0000000000         1.3983934602         0.8469209771         0.1614190536
      3.1000000000         1.4838738965         0.8625006310         0.1501978812
      3.2000000000         1.5708564607         0.8769665073         0.1391554191
      3.3000000000         1.6592307859         0.8903399732         0.1283607758
      3.4000000000         1.7488889786         0.9026490439         0.1178776286
      3.5000000000         1.8397262552         0.9139277885         0.1077632205
      3.6000000000         1.9316415131         0.9242156442         0.0980675554
      3.7000000000         2.0245378308         0.9335566612         0.0888328116
      3.8000000000         2.1183228891         0.9419987003         0.0800929787
      3.9000000000         2.2129093110         0.9495926050         0.0718737201
      4.0000000000         2.3082149182         0.9563913714         0.0641924492
      4.1000000000         2.4041629059         0.9624493351         0.0570586040
      4.2000000000         2.5006819369         0.9678213946         0.0504740960
      4.3000000000         2.5977061619         0.9725622878         0.0444339066
      4.4000000000         2.6951751695         0.9767259332         0.0389267984
      4.5000000000         2.7930338746         0.9803648479         0.0339361108
      4.6000000000         2.8912323525         0.9835296465         0.0294406057
      4.7000000000         2.9897256273         0.9862686273         0.0254153343
      4.8000000000         3.0884734229         0.9886274440         0.0218324954
      4.9000000000         3.1874398862         0.9906488620         0.0186622615
      5.0000000000         3.2865932887         0.9923725954         0.0158735519
      5.1000000000         3.3859057170         0.9938352171         0.0134347373
      5.2000000000         3.4853527566         0.9950701358         0.0113142634
      5.3000000000         3.5849131771         0.9961076314         0.0094811879
      5.4000000000         3.6845686227         0.9969749394         0.0079056275
      5.5000000000         3.7843033143         0.9976963747         0.0065591141
      5.6000000000         3.8841037644         0.9982934880         0.0054148661
      5.7000000000         3.9839585098         0.9987852445         0.0044479783
      5.8000000000         4.0838578626         0.9991882176         0.0036355402
      5.9000000000         4.1837936812         0.9995167921         0.0029566897
      6.0000000000         4.2837591614         0.9997833690         0.0023926123
      6.1000000000         4.3837486485         0.9999985688         0.0019264963
      6.2000000000         4.4837574691         1.0001714273         0.0015434508
      6.3000000000         4.5837817818         1.0003095831         0.0012303987
      6.4000000000         4.6838184468         1.0004194525         0.0009759490
      6.5000000000         4.7838649114         1.0005063912         0.0007702582
      6.6000000000         4.8839191116         1.0005748420         0.0006048858
      6.7000000000         4.9839793880         1.0006284676         0.0004726483
      6.8000000000         5.0840444131         1.0006702693         0.0003674772
      6.9000000000         5.1841131309         1.0007026917         0.0002842826
      7.0000000000         5.2841847061         1.0007277138         0.0002188254
      7.1000000000         5.3842584812         1.0007469284         0.0001675995
      7.2000000000         5.4843339416         1.0007616097         0.0001277248
      7.3000000000         5.5844106866         1.0007727714         0.0000968512
      7.4000000000         5.6844884059         1.0007812150         0.0000730740
      7.5000000000         5.7845668605         1.0007875704         0.0000548590
      7.6000000000         5.8846458672         1.0007923302         0.0000409790
      7.7000000000         5.9847252864         1.0007958773         0.0000304580
      7.8000000000         6.0848050124         1.0007985074         0.0000225253
      7.9000000000         6.1848849651         1.0008004479         0.0000165755
      8.0000000000         6.2849650849         1.0008018724         0.0000121364
      8.1000000000         6.3850453269         1.0008029130         0.0000088418
      8.2000000000         6.4851256581         1.0008036693         0.0000064095
      8.3000000000         6.5852060539         1.0008042162         0.0000046231
      8.4000000000         6.6852864963         1.0008046098         0.0000033179
      8.5000000000         6.7853669721         1.0008048916         0.0000023694
      8.6000000000         6.8854474719         1.0008050923         0.0000016836
      8.7000000000         6.9855279887         1.0008052346         0.0000011903
      8.8000000000         7.0856085174         1.0008053350         0.0000008373
      8.9000000000         7.1856890547         1.0008054054         0.0000005861
      9.0000000000         7.2857695978         1.0008054546         0.0000004082
      9.1000000000         7.3858501451         1.0008054888         0.0000002829
      9.2000000000         7.4859306952         1.0008055124         0.0000001951
      9.3000000000         7.5860112474         1.0008055287         0.0000001338
      9.4000000000         7.6860918008         1.0008055398         0.0000000914
      9.5000000000         7.7861723552         1.0008055474         0.0000000621
      9.6000000000         7.8862529102         1.0008055525         0.0000000420
      9.7000000000         7.9863334657         1.0008055560         0.0000000282
