               eta                    f                   f'                  f''
      0.0000000000         0.0000000000         0.0000000000         1.0000000000
      0.1000000000         0.0050000000         0.0999979167         0.9999166719
      0.2000000000         0.0199987501         0.1999666731         0.9993335815
      0.3000000000         0.0449900042         0.2998313671         0.9977527891
      0.4000000000         0.0799575437         0.3994675539         0.9946822891
      0.5000000000         0.1248702633         0.4987021560         0.9896427782
      0.6000000000         0.1796773858         0.5973151775         0.9821769302
      0.7000000000         0.2443038982         0.6950424595         0.9718608896
      0.8000000000         0.3186463246         0.7915796779         0.9583175278
      0.9000000000         0.4025689666         0.8865877286         0.9412308244
      1.0000000000         0.4959007556         0.9796995744         0.9203605482
      1.1000000000         0.5984328624         1.0705285331         0.8955562515
      1.2000000000         0.7099172027         1.1586778862         0.8667694742
      1.3000000000         0.8300659607         1.2437515705         0.8340630205
      1.4000000000         0.9585522212         1.3253656053         0.7976162254
      1.5000000000         1.0950117636         1.4031598066         0.7577253050
      1.6000000000         1.2390460196         1.4768092643         0.7147981695
      1.7000000000         1.3902261433         1.5460350105         0.6693434605
      1.8000000000         1.5480980833         1.6106133114         0.6219540359
      1.9000000000         1.7121884940         1.6703830562         0.5732855953
      2.0000000000         1.8820112709         1.7252508126         0.5240315969
      2.1000000000         2.0570744626         1.7751932491         0.4748959739
      2.2000000000         2.2368872866         1.8202567926         0.4265653947
      2.3000000000         2.4209669741         1.8605545632         0.3796828710
      2.4000000000         2.6088451802         1.8962608102         0.3348244130
      2.5000000000         2.8000737286         1.9276032255         0.2924801474
      2.6000000000         2.9942295011         1.9548536369         0.2530409134
      2.7000000000         3.1909183405         1.9783176583         0.2167908630
      2.8000000000         3.3897778910         1.9983239037         0.1839060840
      2.9000000000         3.5904793622         2.0152133468         0.1544587979
      3.0000000000         3.7927282597         2.0293293461         0.1284262931
      3.1000000000         3.9962641681         2.0410087544         0.1057034918
      3.2000000000         4.2008597133         2.0505744156         0.0861179064
      3.3000000000         4.4063188508         2.0583292234         0.0694457374
      3.4000000000         4.6124746413         2.0645517997         0.0554279655
      3.5000000000         4.8191866735         2.0694937392         0.0437854741
      3.6000000000         5.0263382839         2.0733782880         0.0342324763
      3.7000000000         5.2338337080         2.0764002582         0.0264877705
      3.8000000000         5.4415952762         2.0787269501         0.0202835942
      3.9000000000         5.6495607410         2.0804998367         0.0153720564
      4.0000000000         5.8576808017         2.0818367774         0.0115293001
      4.1000000000         6.0659168674         2.0828345446         0.0085576630
      4.2000000000         6.2742390808         2.0835714809         0.0062861798
      4.3000000000         6.4826246078         2.0841101382         0.0045697931
      4.4000000000         6.6910561854         2.0844997895         0.0032876349
      4.5000000000         6.8995209108         2.0847787354         0.0023407095
      4.6000000000         7.1080092497         2.0849763611         0.0016492564
      4.7000000000         7.3165142361         2.0851149240         0.0011500208
      4.8000000000         7.5250308375         2.0852110697         0.0007935975
      4.9000000000         7.7335554588         2.0852770924         0.0005419665
      5.0000000000         7.9420855604         2.0853219605         0.0003662880
      5.1000000000         8.1506193683         2.0853521365         0.0002449919
      5.2000000000         8.3591556566         2.0853722214         0.0001621661
      5.3000000000         8.5676935879         2.0853854513         0.0001062305
      5.4000000000         8.7762325961         2.0853940758         0.0000688683
      5.5000000000         8.9847723029         2.0853996398         0.0000441847
      5.6000000000         9.1933124583         2.0854031922         0.0000280549
      5.7000000000         9.4018528987         2.0854054369         0.0000176291
      5.8000000000         9.6103935183         2.0854068406         0.0000109632
      5.9000000000         9.8189342494         2.0854077093         0.0000067474
      6.0000000000        10.0274750492         2.0854082414         0.0000041098
      6.1000000000        10.2360158908         2.0854085639         0.0000024774
      6.2000000000        10.4445567578         2.0854087574         0.0000014780
      6.3000000000        10.6530976398         2.0854088723         0.0000008726
      6.4000000000        10.8616385307         2.0854089398         0.0000005099
      6.5000000000        11.0701794268         2.0854089790         0.0000002949
      6.6000000000        11.2787203260         2.0854090016         0.0000001688
      6.7000000000        11.4872612268         2.0854090145         0.0000000956
      6.8000000000        11.6958021287         2.0854090217         0.0000000536
      6.9000000000        11.9043430311         2.0854090258         0.0000000297
      7.0000000000        12.1128839338         2.0854090280         0.0000000163
      7.1000000000        12.3214248366         2.0854090292         0.0000000089
      7.2000000000        12.5299657396         2.0854090299         0.0000000048
      7.3000000000        12.7385066426         2.0854090302         0.0000000025
      7.4000000000        12.9470475456         2.0854090304         0.0000000013
      7.5000000000        13.1555884487         2.0854090305         0.0000000007
      7.6000000000        13.3641293518         2.0854090306         0.0000000004
      7.7000000000        13.5726702548         2.0854090306         0.0000000002
      7.8000000000        13.7812111579         2.0854090306         0.0000000001
      7.9000000000        13.9897520609         2.0854090306         0.0000000000
      8.0000000000        14.1982929640         2.0854090306         0.0000000000
      8.1000000000        14.4068338671         2.0854090306         0.0000000000
      8.2000000000        14.6153747701         2.0854090306         0.0000000000
      8.3000000000        14.8239156732         2.0854090306         0.0000000000
      8.4000000000        15.0324565763         2.0854090306         0.0000000000
      8.5000000000        15.2409974793         2.0854090306         0.0000000000
      8.6000000000        15.4495383824         2.0854090306         0.0000000000
      8.7000000000        15.6580792854         2.0854090306         0.0000000000
      8.8000000000        15.8666201885         2.0854090306         0.0000000000
      8.9000000000        16.0751610916         2.0854090306         0.0000000000
      9.0000000000        16.2837019946         2.0854090306         0.0000000000
      9.1000000000        16.4922428977         2.0854090306         0.0000000000
      9.2000000000        16.7007838008         2.0854090306         0.0000000000
      9.3000000000        16.9093247038         2.0854090306         0.0000000000
      9.4000000000        17.1178656069         2.0854090306         0.0000000000
      9.5000000000        17.3264065100         2.0854090306         0.0000000000
      9.6000000000        17.5349474130         2.0854090306         0.0000000000
      9.7000000000        17.7434883161         2.0854090306         0.0000000000
      9.8000000000        17.9520292191         2.0854090306         0.0000000000
      9.9000000000        18.1605701222         2.0854090306         0.0000000000
     10.0000000000        18.3691110253         2.0854090306         0.0000000000
               eta                    f                   f'                  f''
      0.0000000000         0.0000000000         0.0000000000        -0.0010000000
      0.1000000000        -0.0000050000        -0.0001000000        -0.0010000001
      0.2000000000        -0.0000200000        -0.0002000000        -0.0010000007
      0.3000000000        -0.0000450000        -0.0003000002        -0.0010000023
      0.4000000000        -0.0000800000        -0.0004000005        -0.0010000053
      0.5000000000        -0.0001250001        -0.0005000013        -0.0010000104
      0.6000000000        -0.0001800003        -0.0006000027        -0.0010000180
      0.7000000000        -0.0002450007        -0.0007000050        -0.0010000286
      0.8000000000        -0.0003200014        -0.0008000085        -0.0010000427
      0.9000000000        -0.0004050025        -0.0009000137        -0.0010000608
      1.0000000000        -0.0005000042        -0.0010000208        -0.0010000833
      1.1000000000        -0.0006050067        -0.0011000305        -0.0010001109
      1.2000000000        -0.0007200104        -0.0012000432        -0.0010001440
      1.3000000000        -0.0008450155        -0.0013000595        -0.0010001831
      1.4000000000        -0.0009800224        -0.0014000800        -0.0010002287
      1.5000000000        -0.0011250316        -0.0015001055        -0.0010002813
