               eta                    f                   f'                  f''
      0.0000000000         0.0000000000         0.0000000000        -0.0009999945
      0.1000000000        -0.0000050000        -0.0000999995        -0.0009999946
      0.2000000000        -0.0000199999        -0.0001999989        -0.0009999952
      0.3000000000        -0.0000449998        -0.0002999985        -0.0009999968
      0.4000000000        -0.0000799996        -0.0003999983        -0.0009999999
      0.5000000000        -0.0001249994        -0.0004999986        -0.0010000049
      0.6000000000        -0.0001799993        -0.0005999994        -0.0010000125
      0.7000000000        -0.0002449994        -0.0007000012        -0.0010000231
      0.8000000000        -0.0003199996        -0.0008000042        -0.0010000372
      0.9000000000        -0.0004050002        -0.0009000087        -0.0010000553
      1.0000000000        -0.0005000014        -0.0010000154        -0.0010000779
      1.1000000000        -0.0006050034        -0.0011000245        -0.0010001055
      1.2000000000        -0.0007200064        -0.0012000366        -0.0010001385
      1.3000000000        -0.0008450108        -0.0013000524        -0.0010001776
      1.4000000000        -0.0009800170        -0.0014000724        -0.0010002232
      1.5000000000        -0.0011250255        -0.0015000973        -0.0010002758
      1.6000000000        -0.0012800367        -0.0016001278        -0.0010003359
      1.7000000000        -0.0014450513        -0.0017001647        -0.0010004040
      1.8000000000        -0.0016200699        -0.0018002089        -0.0010004807
      1.9000000000        -0.0018050933        -0.0019002612        -0.0010005663
      2.0000000000        -0.0020001224        -0.0020003225        -0.0010006614
      2.1000000000        -0.0022051581        -0.0021003938        -0.0010007666
      2.2000000000        -0.0024202015        -0.0022004761        -0.0010008823
      2.3000000000        -0.0026452538        -0.0023005706        -0.0010010090
      2.4000000000        -0.0028803161        -0.0024006783        -0.0010011472
      2.5000000000        -0.0031253899        -0.0025008005        -0.0010012975
      2.6000000000        -0.0033804767        -0.0026009382        -0.0010014604
      2.7000000000        -0.0036455781        -0.0027010930        -0.0010016362
      2.8000000000        -0.0039206959        -0.0028012659        -0.0010018257
      2.9000000000        -0.0042058320        -0.0029014586        -0.0010020292
      3.0000000000        -0.0045009883        -0.0030016723        -0.0010022473
      3.1000000000        -0.0048061672        -0.0031019085        -0.0010024805
      3.2000000000        -0.0051213708        -0.0032021689        -0.0010027293
      3.3000000000        -0.0054466018        -0.0033024549        -0.0010029942
      3.4000000000        -0.0057818627        -0.0034027683        -0.0010032757
      3.5000000000        -0.0061271564        -0.0035031106        -0.0010035744
      3.6000000000        -0.0064824859        -0.0036034838        -0.0010038908
      3.7000000000        -0.0068478543        -0.0037038894        -0.0010042254
      3.8000000000        -0.0072232649        -0.0038043295        -0.0010045787
      3.9000000000        -0.0076087214        -0.0039048058        -0.0010049512
      4.0000000000        -0.0080042273        -0.0040053204        -0.0010053435
      4.1000000000        -0.0084097868        -0.0041058752        -0.0010057561
      4.2000000000        -0.0088254038        -0.0042064723        -0.0010061895
      4.3000000000        -0.0092510827        -0.0043071138        -0.0010066443
      4.4000000000        -0.0096868281        -0.0044078018        -0.0010071209
      4.5000000000        -0.0101326447        -0.0045085387        -0.0010076200
      4.6000000000        -0.0105885375        -0.0046093266        -0.0010081421
      4.7000000000        -0.0110545118        -0.0047101679        -0.0010086877
      4.8000000000        -0.0115305730        -0.0048110649        -0.0010092573
      4.9000000000        -0.0120167267        -0.0049120202        -0.0010098516
      5.0000000000        -0.0125129790        -0.0050130361        -0.0010104710
      5.1000000000        -0.0130193361        -0.0051141152        -0.0010111162
      5.2000000000        -0.0135358043        -0.0052152602        -0.0010117876
      5.3000000000        -0.0140623904        -0.0053164737        -0.0010124859
      5.4000000000        -0.0145991014        -0.0054177583        -0.0010132116
      5.5000000000        -0.0151459445        -0.0055191169        -0.0010139653
      5.6000000000        -0.0157029273        -0.0056205523        -0.0010147475
      5.7000000000        -0.0162700576        -0.0057220674        -0.0010155589
      5.8000000000        -0.0168473435        -0.0058236651        -0.0010164000
      5.9000000000        -0.0174347935        -0.0059253484        -0.0010172715
      6.0000000000        -0.0180324162        -0.0060271204        -0.0010181738
      6.1000000000        -0.0186402206        -0.0061289842        -0.0010191077
      6.2000000000        -0.0192582162        -0.0062309430        -0.0010200737
      6.3000000000        -0.0198864125        -0.0063330001        -0.0010210724
      6.4000000000        -0.0205248196        -0.0064351586        -0.0010221044
      6.5000000000        -0.0211734477        -0.0065374221        -0.0010231704
      6.6000000000        -0.0218323076        -0.0066397939        -0.0010242711
      6.7000000000        -0.0225014102        -0.0067422775        -0.0010254069
      6.8000000000        -0.0231807669        -0.0068448764        -0.0010265786
      6.9000000000        -0.0238703895        -0.0069475944        -0.0010277868
      7.0000000000        -0.0245702899        -0.0070504350        -0.0010290322
      7.1000000000        -0.0252804807        -0.0071534021        -0.0010303154
      7.2000000000        -0.0260009747        -0.0072564994        -0.0010316371
